,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,32,40.2,22.0,55.5,.397,16.1,37.8,.427,5.9,17.7,.332,15.5,21.7,.713,12.6,23.0,35.6,10.8,7.2,4.3,12.8,19.3,65.3
Opponent,32,40.2,21.3,51.3,.414,15.6,33.7,.462,5.7,17.7,.322,15.3,21.8,.699,9.8,23.3,33.1,10.8,6.6,4.0,13.6,18.6,63.4
