,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,32,40.0,27.4,61.8,.444,18.7,36.3,.516,8.7,25.5,.342,15.9,21.2,.749,11.7,27.1,38.8,16.8,7.9,4.7,10.3,17.4,79.5
Opponent,32,40.0,22.8,58.4,.389,15.2,34.3,.443,7.6,24.2,.314,14.8,20.9,.707,10.8,24.4,35.2,11.3,6.6,2.9,13.3,18.3,67.9
